Gene Name,CN,Expression,HotspotMutation
ABL1,1.0121462035105129,4.852498298789891,0.0
ABL2,1.337064300621937,4.364572432295856,0.0
ACACA,1.0342614038771445,4.904002316283692,0.0
ACACB,1.0983701775518488,2.15704371014558,0.0
AFG3L2,0.8268862635645653,5.2645364309990255,0.0
AGFG1,0.8240276605794876,4.767654798237347,0.0
AGFG2,1.111396104818915,2.761285273361619,0.0
AHNAK,1.0768055416392155,6.208868370672949,0.0
AK3,1.372559379736477,4.067810783789621,0.0
AK4,1.1227527204969003,4.619999829821357,0.0
AKR7A2,1.0233433489715762,5.369466483650723,0.0
AKT1,0.780331932620684,6.021035479511363,0.0
AKT2,1.0120120945998416,6.317774372804099,0.0
ALCAM,1.1315957827770986,3.277984747299765,0.0
AMOTL2,1.1106184863712567,5.269407240854037,0.0
AP2A1,1.0120120945998416,5.521364878446219,0.0
AP2A2,0.7761968068707045,4.353323291162897,0.0
APC,1.1246097021763997,3.901108243014512,0.0
APC2,0.7625457233313128,0.6229303509201767,0.0
ARHGAP10,0.8341559920483703,2.6205864104518777,0.0
ARHGEF10,0.8131016083624325,2.8875252707415875,0.0
ARHGEF11,1.2619462999261362,4.6865005271832185,0.0
ARHGEF12,1.0832652831090557,4.46401472450489,0.0
ARHGEF2,1.2619462999261362,6.45022149589718,0.0
ARHGEF3,1.1093363132490914,3.981852653289741,0.0
ARHGEF6,0.8578412677379762,3.023255352300303,0.0
ARHGEF7,1.3513512987201652,5.159467729266766,0.0
ARNTL2,1.1220536316939187,1.790772037862,0.0
ARPC1B,1.111396104818915,8.064904402198286,0.0
ASCC3,0.8269682825833569,3.788685710613534,0.0
ASF1A,0.8269682825833569,4.400537929583729,0.0
ASF1B,1.2423262463611888,6.394548439167169,0.0
ASPM,1.5372938032781382,5.200849574637213,0.0
ATAD2,1.1104638650107093,4.7554217347342425,0.0
ATAD2B,1.1345429293874976,2.176322772640463,0.0
ATM,0.8540210385057915,4.34766565630097,0.0
ATP6V1B1,1.0960087460051284,0.918386234446348,0.0
ATP6V1B2,0.8218710410440071,5.132165525478088,0.0
ATP6V1C1,1.1104638650107093,4.875780063068488,0.0
ATP6V1C2,1.0933605744330015,1.0496307677246008,0.0
ATP6V1E1,0.7699614814903603,6.676380255466924,0.0
ATP6V1E2,1.0960087460051284,2.9164766444377164,0.0
ATR,1.1106184863712567,4.035623909730721,0.0
ATXN2,1.0359280162076858,5.169524197150003,0.0
ATXN2L,1.037224684237366,6.57198012018773,0.0
AURKA,1.3319378201046217,6.883009789619094,0.0
AURKB,1.0252888296138094,7.016585460434448,0.0
B9D2,1.0120120945998416,3.189033824390017,0.0
BAG3,1.1067347436274129,5.766860143829545,0.0
BAG4,0.8218710410440071,3.099295204337776,0.0
BCL2,0.8401328011316271,1.292781749227846,0.0
BCL2A1,1.0737780445737044,3.2448870591235344,0.0
BCL2L1,1.0403314480447403,4.985955754607509,0.0
BCL2L10,1.0770800967930632,0.0,0.0
BCL2L2,0.839606764385887,4.55581615506164,0.0
BET1,1.111396104818915,4.205548911173033,0.0
BET1L,0.0,4.693208148910016,0.0
BIRC6,1.0643250196762175,4.661635602335959,0.0
BRCA1,1.0342614038771445,5.025471814621179,0.0
BRCA2,1.0681215334404963,2.3868109464722167,0.0
BRIP1,1.0342614038771445,3.2016338611696504,0.0
BUB3,1.1067347436274129,7.861273048185303,0.0
CCNA2,0.8341559920483703,5.483493351284395,0.0
CCNE1,1.0120120945998416,3.611172380044005,0.0
CCNE2,1.1104638650107093,4.082361969557474,0.0
CCNL1,1.1106184863712567,6.094236069845765,0.0
CCNL2,1.008744843675356,6.598126959919604,0.0
CCT6A,1.1321410894407071,8.519085800963632,0.0
CCT6B,1.0158652870774016,0.722466024471091,0.0
CDC25C,1.0887286277909776,3.5185351389821804,0.0
CDC37,1.2423262463611888,8.56711948795167,0.0
CDC37L1,1.372559379736477,4.105175192265479,0.0
CDK1,0.8296314959666178,6.334139178838237,0.0
CDK14,1.111396104818915,3.612352498752662,0.0
CDK2,1.0526479072620178,6.512700963425246,0.0
CDNF,0.8118614851557115,1.0496307677246008,0.0
CDT1,1.0887651860902163,4.575917361118149,0.0
CENPF,1.3453430918444496,7.285864547031848,0.0
CHCHD5,0.8177334771942888,4.797012977836145,0.0
CHEK1,1.1483589280296551,5.511594541537413,0.0
CHEK2,0.7699614814903603,3.560714954474479,0.0
CHUK,1.0994081702453633,4.682573297347578,0.0
CLASP1,0.8177334771942888,4.436961337833602,0.0
CLASP2,1.111002417170932,4.044394119358453,0.0
CLOCK,1.125028777141297,3.371558862611963,0.0
CLTC,1.0342614038771445,7.078204190467294,0.0
CLTCL1,0.7699614814903603,2.543495883425772,0.0
CNKSR1,1.0233433489715762,0.8073549220576041,0.0
CNKSR2,0.7320225548559284,1.9634741239748856,0.0
CNOT7,0.8218710410440071,5.20124177119825,0.0
CNOT8,1.099528698663056,5.715069679379989,0.0
COPG1,1.0655987354634937,7.106641452324356,0.0
COPG2,1.0701072690928184,4.8011586560936985,0.0
COPS2,1.0912100971183731,6.588714635582264,0.0
COPS6,1.111396104818915,7.366846735262642,0.0
COX4I1,1.0887651860902163,9.334764902401206,0.0
COX4I2,1.0403314480447403,0.0,0.0
COX6B1,1.0120120945998416,9.210306058294142,0.0
COX6B2,1.0120120945998416,0.2868811477881615,0.0
CPPED1,1.0747032337864229,3.077242998932461,0.0
CPSF6,1.1253239240814878,6.297374860528325,0.0
CPSF7,1.0768055416392155,6.150356580208341,0.0
CSTF2T,0.8296314959666178,3.845991770664573,0.0
