gene1_name,gene2_name,cell_line,label
ADA,TSC1,A549,0
CDK6,MAP2K1,A549,0
FGFR2,MET,A549,0
MDH1,TKT,A549,0
PRKDC,VEGFA,A549,0
DLD,GOT1,A549,0
CDK4,ROR1,A549,0
MOB1A,MOB1B,A549,0
BCL2,MCL1,A549,0
BRCA1,MAPK3,A549,0
PDHA1,PGAM2,A549,0
PSMB5,PSMB8,A549,0
BCL2,FLT3,A549,0
ROR1,SRC,A549,0
CDH1,PTEN,A549,0
ALDOC,TALDO1,A549,0
CHEK1,FGFR2,A549,0
ERBB2,MTOR,A549,0
PRKRA,TARBP2,A549,0
MDH1,ME2,A549,0
ALK,VHL,A549,0
HK1,HKDC1,A549,0
ATM,BTK,A549,0
HDAC1,MSH6,A549,0
BTK,ERBB2,A549,0
HK1,LDHB,A549,0
G6PD,ME2,A549,0
GAPDH,LDHA,A549,0
BAX,PMAIP1,A549,0
MLH1,SMARCB1,A549,0
HSP90AA1,SRC,A549,0
CDK10,CDK11A,A549,0
PKLR,RPE,A549,0
RUNX1,TP53,A549,0
CDK6,JAK2,A549,0
CHEK1,ERBB2,A549,0
DHFR,ERBB2,A549,0
BCL2,CDK4,A549,0
GAPDH,PGK1,A549,0
ABL1,SMO,A549,0
FNTA,PBRM1,A549,0
ALDOB,H6PD,A549,0
ENO1,PDHB,A549,0
PHC1,PHC3,A549,0
CHEK2,HDAC6,A549,0
DLAT,GAPDH,A549,0
HSP90AA1,TP53,A549,0
CDKN1B,PIK3R1,A549,0
LDHB,RPIA,A549,0
FBP2,PGK2,A549,0
ARID1A,MAP2K1,A549,0
ARID2,CHEK1,A549,1
FBP1,PGAM1,A549,0
DTX2,DTX4,A549,0
G6PD,TALDO1,A549,0
EGFR,TSC1,A549,0
MET,MSH6,A549,0
GAPDH,PGK2,A549,0
G6PD,GOT1,A549,0
FGFR2,FGFR3,A549,0
ATM,BCL2,A549,0
RUNX1,VEGFA,A549,0
EGFR,HDAC1,A549,0
HDAC6,SMARCA4,A549,0
GOT1,TKT,A549,0
RPE,TALDO1,A549,0
ENO1,PGAM1,A549,0
PARP1,WEE1,A549,0
BCL2L2,MAPK3,A549,0
BAD,BNIP3,A549,0
MAP2K1,UBB,A549,0
APC,BTK,A549,1
PDGFRA,SETD2,A549,0
H6PD,PKLR,A549,0
FBP2,GOT1,A549,0
AKT1,RPS6KB2,A549,0
SRC,YES1,A549,0
LDHB,PGAM2,A549,0
ALDOB,GOT1,A549,0
BTK,SMARCA4,A549,1
CHEK1,IGF1R,A549,0
LDHAL6B,ME2,A549,0
PIK3R1,ROR1,A549,0
KIT,MET,A549,0
GAPDHS,HK2,A549,0
APC,PTEN,A549,1
CASP8,KMT2D,A549,0
CDK4,PIK3R1,A549,0
GAPDH,PGLS,A549,0
BCL2L2,WEE1,A549,0
PRKDC,SETD2,A549,0
FGFR2,MTOR,A549,0
CDH1,KIT,A549,0
KIT,NF1,A549,0
DLAT,MDH2,A549,0
KMT2D,PDGFRA,A549,0
PARP1,ROR1,A549,0
BRCA2,PBRM1,A549,0
NF1,PIK3R1,A549,0
ALDOC,DLAT,A549,0
MSH6,RB1,A549,0
ALDOC,HK3,A549,0
CHEK1,SMARCA4,A549,0
KIT,VEGFA,A549,0
CDK6,ROR1,A549,0
CDKN1B,KIT,A549,0
ARID2,MSH6,A549,1
PDHA1,TKT,A549,0
CDK4,EGFR,A549,0
MAP2K1,TP53,A549,0
G6PD,RPE,A549,0
CFD,GZMM,A549,0
PKLR,TPI1,A549,0
IGF1R,KIT,A549,0
PDGFRA,PTEN,A549,0
DHFR,RB1,A549,0
BTK,MSH6,A549,0
BIRC2,BIRC7,A549,0
ATM,MLH1,A549,0
HSP90AA1,UBB,A549,0
CASP3,CASP8,A549,0
CHEK2,SMARCA4,A549,0
HDAC4,HDAC9,A549,0
G6PD,PKLR,A549,0
ARID1A,SMARCB1,A549,0
ABL1,CASP8,A549,0
UBE2B,UBE2W,A549,0
JAK2,MTOR,A549,0
GAPDH,PGAM2,A549,0
GOT2,PGD,A549,0
GOT1,H6PD,A549,0
BRAF,CHEK2,A549,0
PBRM1,PIK3CA,A549,0
ATP1A3,ATP1A4,A549,0
ENO1,HK3,A549,0
ALDOC,PDHA1,A549,0
GATA3,TSC1,A549,0
NF1,RUNX1,A549,0
GATA3,VEGFA,A549,0
AKT1,ATM,A549,0
KMT2D,RRM2,A549,0
KIT,SRC,A549,0
CHEK2,MAP2K2,A549,0
PSMB11,PSMB8,A549,0
PIK3CA,RB1,A549,0
KDM6A,MET,A549,0
ARID2,FNTA,A549,0
PGAM1,PGLS,A549,0
RRM2,SMARCB1,A549,0
PTEN,RUNX1,A549,0
MTOR,SMO,A549,0
AKT1,MTOR,A549,0
KCNA7,KCNC2,A549,0
HK3,PGK1,A549,0
STK24,STK3,A549,0
GAPDH,MDH1,A549,0
PLCB2,PLCB3,A549,0
HK2,MDH1,A549,0
ARID2,CDH1,A549,1
ALK,TSC1,A549,0
KCNG1,KCNS1,A549,0
KCNH1,KCNH5,A549,0
CTSG,GZMB,A549,0
CHEK2,MCL1,A549,0
AKT1,FNTA,A549,0
CHEK1,TYMS,A549,0
EGFR,MET,A549,0
ALDOA,GAPDHS,A549,0
BRCA1,BRCA2,A549,0
RB1,VHL,A549,0
PSEN1,PSEN2,A549,0
MAP2K1,MAP2K7,A549,0
KMT2D,MTOR,A549,0
DHFR,HDAC6,A549,0
RB1,TYMS,A549,0
JAK2,TSC1,A549,0
CDH1,ROR1,A549,0
BCL2,HDAC6,A549,0
SETD2,TYMS,A549,0
EPHA5,EPHA7,A549,0
MAP2K2,PARP1,A549,0
GAPDHS,HK3,A549,0
CDK2,CDK6,A549,0
MAP2K1,UBC,A549,0
CDK2,CDK4,A549,0
MET,MTOR,A549,0
MAP3K1,SMAD4,A549,0
LDHC,MDH2,A549,0
CASP8,GATA3,A549,0
ARID2,VHL,A549,0
BTK,PARP1,A549,1
CDK6,PARP1,A549,0
PRKCH,PRKCQ,A549,0
MLH1,RRM2,A549,0
BCL2,GATA3,A549,0
MAP2K2,UBB,A549,0
H6PD,PKM,A549,0
ENO1,ME2,A549,0
ARHGEF1,ARHGEF3,A549,0
HK1,ME2,A549,0
HSP90AA1,RPS6KB1,A549,0
BAK1,BID,A549,0
CDK9,RB1,A549,0
CDK9,CDKN2A,A549,0
PPIL3,PPWD1,A549,0
FGFR3,KDM6A,A549,0
CDKN1B,SETD2,A549,0
CASP8,MSH6,A549,0
EGFR,MTOR,A549,0
BIRC3,BIRC7,A549,0
CHEK1,ROR1,A549,0
LDHB,MDH1,A549,0
CTSK,CTSV,A549,0
HDAC6,RRM2,A549,0
NF1,SMARCA4,A549,0
DLAT,FBP2,A549,0
DHFR,MET,A549,0
PTEN,SMARCA4,A549,0
ALDOC,FBP1,A549,0
PGLS,TALDO1,A549,0
PPP1R13L,TP53BP2,A549,0
LDHA,PGK1,A549,0
CASP4,CASP5,A549,0
BRAF,SMAD4,A549,0
PIK3R1,RB1,A549,0
DLAT,PFKP,A549,0
BCL2L2,PARP2,A549,0
BRD4,MTOR,A549,0
H6PD,HK2,A549,0
ATP2B3,ATP2B4,A549,0
CTSK,CTSL,A549,0
TUBB,TUBB1,A549,0
CHEK2,TP53,A549,0
ARID2,KIT,A549,0
FGFR2,PIK3R1,A549,0
CDKN2A,NF1,A549,0
PKLR,TALDO1,A549,0
DHFR,SMAD4,A549,0
CDK14,CDK15,A549,0
ENO3,MDH2,A549,0
SMARCB1,SMO,A549,0
BRAF,CDK6,A549,0
MDH1,PDHA2,A549,0
SIRT6,SIRT7,A549,0
ATM,SRC,A549,0
MAP3K1,RUNX1,A549,1
PFKL,PKM,A549,0
ARID1A,RUNX1,A549,0
PARP2,UBB,A549,0
HK2,PDHB,A549,0
ERN1,ERN2,A549,0
IGF1R,SMARCB1,A549,0
HK3,PGAM2,A549,0
PDGFRA,PDGFRB,A549,0
APC,IGF1R,A549,1
BNIP3L,PMAIP1,A549,0
ARID2,KDM6A,A549,0
FLT3,HDAC1,A549,0
BTK,PTEN,A549,0
PRKCQ,PRKCZ,A549,0
CDK6,KDM6A,A549,0
HK2,PGLS,A549,0
ABL1,SMAD4,A549,0
FLT3,RB1,A549,0
CDK4,CHEK1,A549,0
ABL1,PIK3CA,A549,0
HK1,PDHA1,A549,0
ALDOB,ALDOC,A549,0
ATM,SMAD4,A549,0
CDK6,GATA3,A549,0
BCL2,UBC,A549,0
IGF1R,MTOR,A549,0
BRAF,PDGFRA,A549,0
ENO2,PGK2,A549,0
SSH2,SSH3,A549,0
EIF4A1,EIF4A3,A549,0
CDK9,PRKDC,A549,0
PDHX,PGLS,A549,0
FLT3,KDM6A,A549,0
PGK1,TKT,A549,0
KMT2D,PARP1,A549,0
TSC1,TYMS,A549,0
KCNF1,KCNS1,A549,0
ALDOC,GOT1,A549,0
HK1,RPIA,A549,0
ENO3,FBP2,A549,0
PGK1,TALDO1,A549,0
ARID2,BCL2,A549,0
LDHAL6B,PGLS,A549,0
GAPDH,LDHB,A549,0
ABL1,APC,A549,1
TUBB,TUBB6,A549,0
ALDOC,ENO2,A549,0
DNAJC15,DNAJC19,A549,0
FKBP1A,FKBP4,A549,0
EGFR,VHL,A549,0
BTK,CDKN2A,A549,0
AKT2,CHEK2,A549,0
BCL2L11,BCL2L14,A549,0
ATM,ROR1,A549,0
HSP90AA1,NF1,A549,0
SMARCA4,TSC1,A549,0
GATA3,RPS6KB1,A549,0
H6PD,PGAM2,A549,0
FGFR3,PDGFRA,A549,0
ALDOC,GAPDHS,A549,0
CDH1,KDM6A,A549,0
ABL1,RB1,A549,0
ME2,PDHB,A549,0
LDHA,TPI1,A549,0
KIT,KMT2D,A549,0
ENO2,TKT,A549,0
PARP1,SRC,A549,0
MDH2,PGLS,A549,0
EGFR,RRM2,A549,0
STAMBP,STAMBPL1,A549,0
SMAD4,VHL,A549,1
MAP2K1,PARP2,A549,0
ALDOB,TALDO1,A549,0
CDKN1B,TYMS,A549,0
H6PD,PGD,A549,0
G6PD,HK2,A549,0
BAK1,BBC3,A549,0
ENO1,PFKL,A549,0
PDHB,TALDO1,A549,0
LDHB,PFKP,A549,0
BRCA1,MAP2K1,A549,0
AKT1,WEE1,A549,0
MLH1,SMARCA4,A549,0
DHFR,FNTA,A549,0
ABL1,DHFR,A549,0
ENO1,G6PD,A549,0
HSP90AA1,MAP2K2,A549,0
ALDOB,PGD,A549,0
CDK9,ROR1,A549,0
FBP2,PGAM2,A549,0
BNIP3L,HRK,A549,0
PRMT3,PRMT6,A549,0
DHFR,SMARCB1,A549,0
KLK4,PRSS3,A549,0
AKT1,DHFR,A549,0
ALDOB,PDHX,A549,0
ARID2,SMAD4,A549,0
ADAM21,ADAM9,A549,0
DLD,ME1,A549,0
MSH6,PBRM1,A549,0
ATM,GATA3,A549,0
TRAF1,TRAF3,A549,0
EGFR,MLH1,A549,0
HSP90AA1,PARP2,A549,0
PSPC1,SFPQ,A549,0
PHKG1,PHKG2,A549,0
MTOR,PARP1,A549,0
FNTA,PRKDC,A549,0
CASP8,CDK4,A549,0
UHRF1,UHRF2,A549,0
ADA,RUNX1,A549,0
HK1,PGK2,A549,0
CDKN1B,PIK3CA,A549,0
PGLS,PKM,A549,0
FGFR2,SMO,A549,0
BCL2,PARP1,A549,0
FGFR2,RPS6KB1,A549,0
ME2,TPI1,A549,0
ERBB2,MSH6,A549,0
ROR1,VEGFA,A549,0
MDH2,PFKP,A549,0
FLT3,PARP1,A549,0
SMARCA4,SRC,A549,0
FLT3,KIT,A549,0
ALDOB,PGK1,A549,0
ARID1A,HSP90AA1,A549,0
ENO2,PGD,A549,0
CTSD,REN,A549,0
ROR1,WEE1,A549,0
ARID1A,BRAF,A549,0
BRCA2,BRD4,A549,0
HK1,PFKL,A549,0
MAP2K1,WEE1,A549,0
ENO1,FBP2,A549,0
FLT3,TP53,A549,0
MSH6,ROR1,A549,0
FNTA,KDM6A,A549,0
KCNF1,KCNV1,A549,0
MAP2K1,PDGFRA,A549,0
ALDOB,LDHB,A549,0
BBC3,HRK,A549,0
BIK,BMF,A549,0
ARID1A,VEGFA,A549,0
PRPS1L1,PRPSAP1,A549,0
JAK2,SRC,A549,0
ADA,VHL,A549,0
DLAT,HK1,A549,0
FGFR3,IGF1R,A549,0
CHEK2,MAP2K1,A549,0
BRCA2,CDKN1B,A549,0
BRCA2,MAP2K2,A549,0
LDHB,PDHB,A549,0
MTOR,RPS6KB1,A549,1
LDHB,PDHA2,A549,0
GAPDHS,LDHC,A549,0
TSC1,VEGFA,A549,0
KDM6A,PIK3CA,A549,0
KMT2D,PIK3CA,A549,0
AKT1,HSP90AA1,A549,0
MDH2,PGK1,A549,0
PBRM1,VHL,A549,0
AKT1,PIK3R1,A549,0
BTK,PIK3R1,A549,1
KMT2D,MLH1,A549,0
PKM,TALDO1,A549,0
HK1,PKLR,A549,0
ME1,TALDO1,A549,0
PDHA2,PGAM1,A549,0
CUL1,CUL3,A549,0
EGFR,RB1,A549,0
ERBB2,ROR1,A549,1
PLXNA1,PLXNA3,A549,0
HK1,PKM,A549,0
PKLR,PKM,A549,0
PTEN,ROR1,A549,0
CDKN2A,TSC1,A549,0
PKLR,TKT,A549,0
HK3,ME1,A549,0
FGFR3,HDAC1,A549,0
PDGFRA,TP53,A549,0
PBRM1,PDGFRA,A549,0
BTK,RB1,A549,0
CFD,GZMB,A549,0
GAPDH,TALDO1,A549,0
GCA,PDCD6,A549,0
ABL1,PIK3R1,A549,0
GAPDH,PDHA1,A549,0
ALDOA,PDHA1,A549,0
MET,PARP1,A549,0
FGFR3,MET,A549,0
KIT,SETD2,A549,0
BRD4,MAP3K1,A549,1
BCL2L2,MAPK1,A549,0
UBE2D4,UBE2E1,A549,0
CHEK2,FLT3,A549,0
BTK,RPS6KB1,A549,1
RB1,SMARCA4,A549,0
ALK,SMARCA4,A549,0
MTOR,SMARCA4,A549,0
HSP90AA1,KDM6A,A549,0
BIRC2,BIRC3,A549,0
DHFR,NF1,A549,0
AKT2,CHEK1,A549,0
GOT2,PDHA2,A549,0
PIK3CA,SMARCB1,A549,0
MTOR,PARP2,A549,0
ADAM2,ADAM9,A549,0
DCK,TK2,A549,0
MLH1,ROR1,A549,0
ALK,KMT2D,A549,0
CTSD,PGC,A549,0
CDH1,PRKDC,A549,0
ALDOB,GAPDH,A549,0
JAK2,TP53,A549,0
ABL1,HSP90AA1,A549,0
CDK6,SMAD4,A549,0
CDK9,IGF1R,A549,0
CDKN2A,PBRM1,A549,0
SMARCA4,WEE1,A549,0
BRCA2,KIT,A549,0
BRCA2,EGFR,A549,0
APC,APC2,A549,0
CDK4,DHFR,A549,0
ATAD2,ATAD2B,A549,0
CHEK2,IGF1R,A549,0
DLD,GAPDHS,A549,0
CHEK2,MTOR,A549,1
PDHB,RPE,A549,0
PTEN,SMAD4,A549,0
ME2,PDHX,A549,0
BAD,BIK,A549,0
PDHB,PFKP,A549,0
PGK2,TKT,A549,0
HK1,MDH2,A549,0
BCL2,BRD4,A549,0
FGFR2,SMARCB1,A549,0
PDHX,PFKP,A549,0
SFN,YWHAZ,A549,0
ALDOA,ME2,A549,0
ARID2,MTOR,A549,0
AKT1,JAK2,A549,0
GATA3,HSP90AA1,A549,0
RPS27,RPS27L,A549,0
HDAC1,PTEN,A549,0
CHEK2,TSC1,A549,0
CDKN1B,ROR1,A549,0
MLH1,RPS6KB1,A549,0
CDKN2A,CHEK1,A549,1
LDHAL6B,PKM,A549,0
KMT2D,SMARCA4,A549,0
HDAC1,JAK2,A549,0
LDHA,RPE,A549,0
IGF1R,RUNX1,A549,0
ALDOA,PGLS,A549,0
ABL1,ARID1A,A549,0
HK1,PGAM1,A549,0
ERBB2,FGFR2,A549,1
CDK6,SMARCA4,A549,0
FBP1,PGK1,A549,0
ATM,DHFR,A549,0
ALDOB,MDH2,A549,0
ALDOC,G6PD,A549,0
BTK,FNTA,A549,1
H6PD,TALDO1,A549,0
FBP1,LDHC,A549,0
BTK,SMAD4,A549,1
KCNA1,KCND3,A549,0
PFKL,PGD,A549,0
CDH1,JAK2,A549,0
BCL2L2,BRCA2,A549,0
PARP1,SMO,A549,0
BAX,BCL2L11,A549,0
CPT1A,CRAT,A549,0
BCL2,MLH1,A549,0
SRC,TP53,A549,0
AICDA,APOBEC3F,A549,0
ALDOC,PGLS,A549,0
AKT1,KMT2D,A549,0
CARD11,CARD9,A549,0
KMT2D,SMO,A549,0
PARP1,SMARCA4,A549,0
HDAC6,TSC1,A549,0
PGD,PKLR,A549,0
HDAC2,HDAC3,A549,0
CHCHD3,CHCHD6,A549,0
ARID1A,SMAD4,A549,0
CHEK2,PRKDC,A549,0
SRPK1,SRPK3,A549,0
MSH6,RPS6KB1,A549,0
SMARCA4,VEGFA,A549,1
AKT1,ROR1,A549,0
ME2,PGD,A549,0
ENO2,HK1,A549,0
DLAT,HK3,A549,0
PPP3CA,PPP3CC,A549,0
GZMB,GZMM,A549,0
CDK6,FGFR2,A549,0
HSP90AA1,SMARCA4,A549,0
TUBB2A,TUBB8,A549,0
PIK3CA,SMARCA4,A549,0
GATA3,PRKDC,A549,0
CDK4,RRM2,A549,0
FGFR2,NF1,A549,0
KDM6A,PRKDC,A549,0
ABL1,CHEK1,A549,0
BCL2L2,HSP90AA1,A549,0
PGK1,RPE,A549,0
ARID1A,ROR1,A549,0
APC,FGFR2,A549,0
HSP90AA1,PRKDC,A549,0
BRD4,FGFR2,A549,0
FBP1,HK3,A549,0
BAK1,BNIP3,A549,0
GAPDHS,PDHB,A549,0
FGFR2,ROR1,A549,0
HK3,ME2,A549,0
RPS6KB1,VEGFA,A549,0
FLT3,HDAC6,A549,0
BRD4,SRC,A549,0
HDAC6,PRKDC,A549,0
AKT2,BCL2A1,A549,0
MET,RB1,A549,0
CTSD,CTSE,A549,0
BAX,BNIP3,A549,0
BRAF,HDAC1,A549,0
PBRM1,SMAD4,A549,1
CALM2,CALML5,A549,0
GOT2,HK1,A549,0
ERBB2,KIT,A549,1
ROR1,SMARCB1,A549,0
PGD,RPE,A549,0
FNTA,MLH1,A549,0
DHFR,WEE1,A549,0
MARK2,MARK3,A549,0
CDKN1B,FLT3,A549,0
CDC25A,CDC25B,A549,0
FGFR2,FGFR4,A549,0
GZMA,GZMH,A549,0
KCNG4,KCNS3,A549,0
TP53,VEGFA,A549,0
PGK1,RPIA,A549,0
HSP90AA1,IGF1R,A549,0
FBP1,PGAM2,A549,0
GATA3,IGF1R,A549,0
BCL2L1,CHEK2,A549,0
BCL2,BCL2L10,A549,0
TYMS,WEE1,A549,0
PARP1,TSC1,A549,0
FBP2,MDH1,A549,0
JAK2,KMT2D,A549,0
BTK,MTOR,A549,0
RRM2,WEE1,A549,0
UBE2A,UBE2B,A549,0
ARID2,NF1,A549,1
CASP1,CASP4,A549,0
CDK4,HSP90AA1,A549,0
AKT1,RUNX1,A549,0
ADA,CDH1,A549,0
CDKN1B,VEGFA,A549,0
IGF1R,RPS6KB1,A549,0
HSP90AA1,PBRM1,A549,0
ALK,PIK3R1,A549,0
GOT1,ME2,A549,0
GOT1,PFKP,A549,0
ARID1A,PBRM1,A549,0
BBC3,BID,A549,0
CDK9,FNTA,A549,0
HK2,LDHB,A549,0
KIT,MTOR,A549,0
ACAA2,ACAT2,A549,0
GATA3,RUNX1,A549,0
G6PD,H6PD,A549,0
DHFR,TP53,A549,0
ARID2,ERBB2,A549,0
CHEK1,VEGFA,A549,0
BCL2,SETD2,A549,0
EGFR,PRKDC,A549,0
BCL2L12,BCL2L14,A549,0
AKT1,MAP2K2,A549,0
KCNC1,KCNC2,A549,0
CDH1,SMO,A549,0
JAK2,RRM2,A549,0
CASP8,CHEK1,A549,0
DLD,PDHB,A549,0
H6PD,HK3,A549,0
LDHB,ME2,A549,0
CFD,GZMH,A549,0
BAX,BIK,A549,0
PARP1,RRM2,A549,0
BRCA2,GATA3,A549,0
ATP12A,ATP4A,A549,0
GAPDH,PGAM1,A549,0
MLH1,TP53,A549,0
ATP1A1,ATP1A4,A549,0
ADA,BCL2,A549,0
ALK,CDH1,A549,0
CHEK2,VEGFA,A549,0
CHEK2,GATA3,A549,0
PIK3CA,PIK3R1,A549,0
ABL1,SETD2,A549,0
CHEK2,SRC,A549,0
RB1,ROR1,A549,0
FBXO17,FBXO6,A549,0
UBE2D3,UBE2E2,A549,0
MDH2,PGD,A549,0
GGT1,GGT7,A549,0
PDGFRA,RRM2,A549,0
KDM6A,SRC,A549,0
UBB,UBC,A549,0
AKT1,SMARCB1,A549,0
CDC20,CDC20B,A549,0
FBP1,TALDO1,A549,0
KIT,PIK3CA,A549,0
UBE2D4,UBE2E2,A549,0
GAPDHS,PFKP,A549,0
MAPK3,PARP2,A549,0
CCL18,CCL3,A549,0
CHEK1,GATA3,A549,0
UBE2D1,UBE2E3,A549,0
FGFR2,RUNX1,A549,0
CDKN1B,GATA3,A549,0
KDM6A,SMARCA4,A549,0
FGFR2,PTEN,A549,0
CDKN2A,EGFR,A549,0
CYFIP1,CYFIP2,A549,0
GOT1,HK1,A549,0
ALDOB,PFKP,A549,0
UBE2Q1,UBE2QL1,A549,0
FBP2,HK3,A549,0
BTK,VEGFA,A549,0
H6PD,PFKP,A549,0
FGFR2,TYMS,A549,0
BCL2L10,CHEK1,A549,0
CHEK1,FNTA,A549,0
FGFR2,KDM6A,A549,0
MET,TSC1,A549,0
PGK1,TPI1,A549,0
FGFR3,VEGFA,A549,0
PGAM1,TALDO1,A549,0
ADA,FLT3,A549,0
PGAM2,TALDO1,A549,0
SMO,SRC,A549,0
BNIP3,BOK,A549,0
ARID2,MET,A549,1
ATP1A2,ATP1A3,A549,0
BCL2L11,BOK,A549,0
PFKM,PGK2,A549,0
GATA3,SRC,A549,0
STK17A,STK17B,A549,0
CHEK2,FGFR3,A549,0
ARID2,JAK2,A549,1
CDK9,KMT2D,A549,0
ARID1A,MSH6,A549,0
HDAC6,NF1,A549,0
EGFR,ERBB2,A549,0
CDK6,CDK9,A549,0
CDK9,ERBB2,A549,1
ATM,RUNX1,A549,0
PTEN,SMO,A549,0
BTK,FLT3,A549,0
CASP8,DHFR,A549,0
PIK3R1,SMO,A549,0
CDK4,MAP2K1,A549,0
ROR1,RUNX1,A549,0
APC,HDAC6,A549,1
TNS1,TNS4,A549,0
PDHX,RPE,A549,0
ARID2,FLT3,A549,0
LDHC,ME2,A549,0
BCL2,PIK3R1,A549,0
MAP3K1,VHL,A549,1
GAPDH,PDHB,A549,0
BCL2,BCL2A1,A549,0
BCKDHB,PDHB,A549,0
KMT2D,SETD2,A549,0
CHEK2,SMAD4,A549,0
NCOA1,NCOA2,A549,0
LDHA,TKT,A549,0
ALDOC,ENO1,A549,0
RUNX1,SMAD4,A549,0
DLAT,DLD,A549,0
MET,VHL,A549,0
APC,CHEK2,A549,1
BRD4,NF1,A549,0
IGF1R,SETD2,A549,0
HK2,PGAM2,A549,0
PIK3CA,SMO,A549,0
FGFR3,SRC,A549,0
MAP3K1,PARP1,A549,0
AKT1,KDM6A,A549,0
GAPDH,ME2,A549,0
CORO1A,CORO1C,A549,0
BTK,TYMS,A549,0
BRD4,MAP2K1,A549,0
CALM3,CALML3,A549,0
AKT2,PARP2,A549,0
APC,TP53,A549,0
MET,RRM2,A549,0
ENO3,PGLS,A549,0
AICDA,APOBEC3B,A549,0
GOT2,LDHAL6B,A549,0
ADA,MLH1,A549,0
CDK4,RB1,A549,0
HDAC1,PRKDC,A549,0
BRD4,TSC1,A549,0
ALDOC,DLD,A549,0
ME2,PGK2,A549,0
ME1,RPE,A549,0
FNTA,PIK3CA,A549,0
DLAT,PGK1,A549,0
CDK6,MTOR,A549,0
CHEK2,MAPK1,A549,0
APC,FLT3,A549,1
GATA3,SMARCA4,A549,0
ALDOC,PFKL,A549,0
ME1,PKM,A549,0
IGF1R,ROR1,A549,0
AP2A1,AP2A2,A549,0
ALK,HDAC6,A549,0
BCL2L2,CHEK2,A549,0
ALK,PBRM1,A549,0
GAPDH,GAPDHS,A549,0
HDAC1,PDGFRA,A549,0
MTOR,VEGFA,A549,0
CRAT,CROT,A549,0
CDKN1B,FNTA,A549,0
CHEK2,UBB,A549,0
MLH1,PARP1,A549,0
APC,BRCA2,A549,0
DLAT,ME1,A549,0
FBP2,TALDO1,A549,0
AKT1,HDAC6,A549,0
ALK,TP53,A549,0
MSH6,SMO,A549,0
APC,JAK2,A549,0
GZMH,GZMM,A549,0
PARP1,VEGFA,A549,0
TALDO1,TPI1,A549,0
GAPDHS,PFKM,A549,0
MLH1,VEGFA,A549,0
KMT2D,SRC,A549,0
BCL2,RB1,A549,0
GATA3,PDGFRA,A549,0
APOBEC3B,APOBEC3D,A549,0
FBP1,PFKP,A549,0
DLAT,ENO3,A549,0
DLD,LDHC,A549,0
PFKM,PGAM1,A549,0
ABL1,TYMS,A549,0
SMAD4,VEGFA,A549,0
GATA3,SMARCB1,A549,0
FNTA,TYMS,A549,1
ALK,CDKN2A,A549,0
PRKDC,SMAD4,A549,1
DLAT,PGAM1,A549,0
BAX,BID,A549,0
ALDOC,PGK2,A549,0
FGFR3,MAP2K1,A549,0
HDAC1,RB1,A549,0
RAC1,RAC2,A549,0
UBE2D2,UBE2L3,A549,0
KMT2D,NF1,A549,0
CDK9,HDAC6,A549,0
CASP8,PIK3R1,A549,0
CHEK2,MET,A549,0
HDAC1,PIK3CA,A549,0
KDM6A,MTOR,A549,0
TRIM28,TRIM33,A549,0
FGFR3,PARP1,A549,0
FNTA,RRM2,A549,0
BTK,MAP3K1,A549,1
UBE2A,UBE2W,A549,0
CDK6,VHL,A549,1
ABL1,RRM2,A549,0
RPE,TPI1,A549,0
MDH1,TPI1,A549,0
ERBB2,TSC1,A549,0
CHEK1,KIT,A549,0
PDGFRA,TSC1,A549,0
ARID2,PRKDC,A549,0
DHFR,RPS6KB1,A549,0
APC,MAP3K1,A549,1
HK3,RPE,A549,0
CDKN1B,HSP90AA1,A549,0
KMT2D,SMAD4,A549,0
PGAM2,RPIA,A549,0
APC,PDGFRA,A549,1
PDHA1,PDHX,A549,0
DLAT,TPI1,A549,0
ATM,PBRM1,A549,0
BRAF,TYMS,A549,0
ABL1,ERBB2,A549,0
DAPK3,STK17A,A549,0
ALDOB,PKLR,A549,0
MAP2K2,MAP2K3,A549,0
LDHC,PGD,A549,0
UBE2Q1,UBE2Q2,A549,0
BRAF,NF1,A549,0
CHEK2,JAK2,A549,0
ME1,PGD,A549,0
SMARCA4,TP53,A549,0
ALK,PIK3CA,A549,0
HK3,PKM,A549,0
H6PD,RPE,A549,0
ALDOB,ENO1,A549,0
BTK,HDAC6,A549,0
KIT,TSC1,A549,0
CAMK1D,CAMK1G,A549,0
DPP7,PRCP,A549,0
KCNA1,KCNC2,A549,0
FGFR3,KMT2D,A549,0
KMT2D,PIK3R1,A549,0
ENO3,GAPDHS,A549,0
DHFR,PRKDC,A549,0
AKT1,GATA3,A549,0
PFKL,TALDO1,A549,0
HSP90AA1,RUNX1,A549,0
KCNF1,KCNS3,A549,0
DHFR,KIT,A549,0
ACAT1,ACAT2,A549,0
ENO2,LDHB,A549,0
FLT3,SMAD4,A549,0
BCL2L12,BOK,A549,0
BCL2,MAP2K1,A549,0
PDHA1,PFKL,A549,0
BCL2A1,BCL2L1,A549,0
BRCA2,CASP8,A549,0
H6PD,MDH2,A549,0
MTHFD1,MTHFD1L,A549,0
CHEK2,PBRM1,A549,0
G6PD,HK3,A549,0
CNKSR1,CNKSR2,A549,0
ENO2,ME2,A549,0
CHEK2,MSH6,A549,0
MAPK1,WEE1,A549,0
ALK,PTEN,A549,0
ABL1,HDAC1,A549,0
PKN2,PRKCQ,A549,0
PGD,TKT,A549,0
HDAC5,HDAC9,A549,0
