gene1_name,gene2_name,cell_line,label
HDAC6,VEGFA,A549,0
CDKN1B,HDAC6,A549,0
KCNB1,KCNB2,A549,0
AKT2,HSP90AA1,A549,0
GOT2,H6PD,A549,0
ALDOA,TPI1,A549,0
BTK,SMARCB1,A549,0
PDHA1,TPI1,A549,0
CDKN1B,CHEK1,A549,0
HSP90AA1,JAK2,A549,0
BCL2,SMO,A549,0
CDK9,NF1,A549,0
ENO1,TPI1,A549,0
BRAF,RB1,A549,0
SETD2,SMO,A549,0
G6PD,PFKM,A549,0
APC,RRM2,A549,0
CSNK1A1L,TTBK2,A549,0
PFKL,RPE,A549,0
KCNC1,KCNC3,A549,0
ENO2,PKLR,A549,0
AKT1,AKT2,A549,0
BCL2L1,PARP2,A549,0
ENO1,RPIA,A549,0
ARID2,BRD4,A549,1
BCL2,CDKN2A,A549,0
LDHC,TALDO1,A549,0
CDK6,WEE1,A549,0
POLR2A,POLR3A,A549,0
PBRM1,SRC,A549,0
PFKL,RPIA,A549,0
CDKN1B,SMARCA4,A549,0
FGFR3,HDAC6,A549,0
MSH6,SMARCA4,A549,0
MTOR,UBC,A549,0
ALDOB,PDHA1,A549,0
CDH1,FLT3,A549,0
AKT2,UBB,A549,0
ALDOB,HK2,A549,0
ENO1,TKT,A549,0
TRIM22,TRIM6,A549,0
ATM,PTEN,A549,0
LDHA,PFKL,A549,0
KCNG3,KCNV2,A549,0
FBP1,PGK2,A549,0
LDHB,PDHX,A549,0
CHEK1,KMT2D,A549,0
MAP2K2,WEE1,A549,0
FNTA,RUNX1,A549,0
UBE2NL,UBE2S,A549,0
YWHAQ,YWHAZ,A549,0
ARID2,CDKN2A,A549,1
CHEK2,EGFR,A549,0
AKT1,VEGFA,A549,0
JAK2,RPS6KB1,A549,0
APC,FNTA,A549,0
ENO2,PGAM1,A549,0
CSNK1G2,CSNK1G3,A549,0
DLD,HK1,A549,0
GNL3,GNL3L,A549,0
BCL2,BRCA1,A549,0
HDAC6,MTOR,A549,0
MAP2K1,RRM2,A549,0
BRCA2,TSC1,A549,0
ARID1A,CASP8,A549,0
CHEK2,KDM6A,A549,0
ENO3,PDHA2,A549,0
MAP3K1,TP53,A549,0
BRAF,RAF1,A549,0
MET,WEE1,A549,0
GATA3,MLH1,A549,0
LDHB,PKLR,A549,0
HSP90AA1,PTEN,A549,0
ATM,SMARCA4,A549,0
ABL1,ADA,A549,0
PRKDC,VHL,A549,0
CHEK1,RPS6KB1,A549,0
CDK6,RPS6KB1,A549,0
JAK2,PBRM1,A549,0
BRD4,HSP90AA1,A549,0
ALDOA,MDH1,A549,0
GOT1,HK3,A549,0
MDH2,PDHA2,A549,0
GOT2,PKLR,A549,0
PLXNA4,PLXNB1,A549,0
BRAF,PARP1,A549,0
ALK,MSH6,A549,0
ADA,TP53,A549,0
EGFR,SMARCA4,A549,0
CDKN2A,KIT,A549,0
PGD,PGK2,A549,0
CASP14,CASP3,A549,0
ENO1,FBP1,A549,0
ERBB2,NF1,A549,1
LDHA,LDHAL6B,A549,0
FBP1,MDH1,A549,0
DLD,TKT,A549,0
HDAC4,HDAC5,A549,0
ABL1,PDGFRA,A549,0
YWHAE,YWHAZ,A549,0
MAP2K2,UBC,A549,0
DLAT,G6PD,A549,0
MSH6,PIK3CA,A549,0
CDKN1B,EGFR,A549,0
CASP8,FGFR2,A549,0
ADA,CDKN1B,A549,0
BMF,PMAIP1,A549,0
GOT1,PDHA2,A549,0
CDC20,FZR1,A549,0
H6PD,PGLS,A549,0
PDHA2,PGLS,A549,0
MTOR,PIK3CA,A549,1
FNTA,SMO,A549,0
FGFR2,PBRM1,A549,0
DLD,ENO3,A549,0
RPS6KB1,SRC,A549,0
FLT3,RPS6KB1,A549,0
KCNB2,KCNG1,A549,0
NF1,SRC,A549,0
GAPDHS,RPE,A549,0
FGFR3,TSC1,A549,0
FER,FES,A549,0
HDAC6,HSP90AA1,A549,0
ERBB2,GATA3,A549,0
CDK4,RUNX1,A549,0
ALDOB,PFKL,A549,0
GOT1,RPIA,A549,0
ENO2,LDHA,A549,0
MDH2,PFKM,A549,0
FLT3,WEE1,A549,0
PRKDC,PTEN,A549,0
PDHA2,PGAM2,A549,0
BRCA2,PARP2,A549,0
TKTL1,TKTL2,A549,0
IGF1R,SMARCA4,A549,0
GAPDHS,LDHB,A549,0
DLD,PDHA1,A549,0
CDKN1B,SMO,A549,0
APC,CDK9,A549,0
GANAB,GANC,A549,0
ARID1A,BCL2,A549,0
ADA,SRC,A549,0
IGF1R,NF1,A549,0
ADA,JAK2,A549,0
ME2,TKT,A549,0
PLCB1,PLCB3,A549,0
ME1,PDHX,A549,0
LDHB,LDHC,A549,0
MAP3K1,MLH1,A549,1
CDH1,SMARCB1,A549,0
CASP8,JAK2,A549,0
BPGM,PGAM1,A549,0
AKT1,ARID2,A549,0
DHFR,MTOR,A549,0
ARID1A,KMT2D,A549,0
MAP2K1,MLH1,A549,0
BRD4,KIT,A549,0
CASP8,SETD2,A549,0
CDH1,FGFR2,A549,0
ABL1,BTK,A549,1
PFKL,TPI1,A549,0
CDKN2A,PTEN,A549,0
MLH1,MSH6,A549,0
DHFR,ROR1,A549,0
PGLS,PKLR,A549,0
BBC3,BCL2L14,A549,0
BTK,SMO,A549,0
G6PD,LDHC,A549,0
BRCA2,PARP1,A549,0
MAPK3,UBC,A549,0
FBP2,PDHA1,A549,0
AKT2,MCL1,A549,0
HK1,LDHC,A549,0
APC,SMARCB1,A549,0
MDH1,PDHX,A549,0
HK1,TKT,A549,0
BTK,MAP2K1,A549,0
PFKP,TKT,A549,0
GAPDHS,PDHA2,A549,0
ENO3,PGK2,A549,0
PBRM1,PIK3R1,A549,0
TRIM17,TRIM21,A549,0
LDHC,PGAM2,A549,0
BRD4,TP53,A549,0
ARID2,SMO,A549,1
ENO2,HK2,A549,0
APC,ROR1,A549,1
BCL2L14,BNIP3,A549,0
CDH1,PIK3CA,A549,0
DPF2,DPF3,A549,0
KDM6A,MAP3K1,A549,1
CDKN1B,SRC,A549,0
KCNG3,KCNS3,A549,0
CDH1,TYMS,A549,0
MTOR,PTEN,A549,0
LONP1,LONP2,A549,0
PARP1,PARP3,A549,0
ALDOC,LDHAL6B,A549,0
CHEK1,UBC,A549,0
AZU1,PRTN3,A549,0
FBP1,PFKM,A549,0
BRD4,TYMS,A549,0
CDK1,CDK6,A549,0
LDHAL6B,UEVLD,A549,0
ATM,PDGFRA,A549,0
BRCA2,CDK6,A549,0
BCL2,PARP2,A549,0
FNTA,SMAD4,A549,0
CHEK2,MTOR,A549,0
ARID2,BRCA2,A549,1
CDKN2A,MAP3K1,A549,0
MTOR,RB1,A549,0
BCL2L11,BNIP3L,A549,0
CDKN2A,PDGFRA,A549,0
BRCA2,MTOR,A549,0
GOT1,TALDO1,A549,0
ALDOA,PGAM2,A549,0
DLD,PFKP,A549,0
SRPK2,SRPK3,A549,0
PBRM1,WEE1,A549,0
ACAA2,ACAT1,A549,0
MSH6,MTOR,A549,0
ERBB2,MAP3K1,A549,1
ALDOC,PGAM1,A549,0
FLT3,IGF1R,A549,0
ACVR1,BMPR1A,A549,0
CTSE,REN,A549,0
ARID2,ROR1,A549,1
KDM6A,WEE1,A549,0
ALDOA,PKM,A549,0
IGF1R,WEE1,A549,0
MAP2K1,MET,A549,0
